0,1
Ben Cottrell,https://www.premierleague.com/players/49256/Ben-Cottrell/stats?co=1&se=-1
Vladimir Coufal,https://www.premierleague.com/players/7336/Vladimir-Coufal/stats?co=1&se=-1
Conor Coventry,https://www.premierleague.com/players/15211/Conor-Coventry/stats?co=1&se=-1
Matthew Cox,https://www.premierleague.com/players/98258/Matthew-Cox/stats?co=1&se=-1
Charlie Cresswell,https://www.premierleague.com/players/69286/Charlie-Cresswell/stats?co=1&se=-1
Kane Crichlow,https://www.premierleague.com/players/51245/Kane-Crichlow/stats?co=1&se=-1
Cristiano Ronaldo,https://www.premierleague.com/players/2522/Cristiano-Ronaldo/stats?co=1&se=-1
Cucho Hernández,https://www.premierleague.com/players/31905/Cucho-Hern%C3%A1ndez/stats?co=1&se=-1
Marc Cucurella,https://www.premierleague.com/players/27277/Marc-Cucurella/stats?co=1&se=-1
Jamie Cumming,https://www.premierleague.com/players/14565/Jamie-Cumming/stats?co=1&se=-1
Luke Cundle,https://www.premierleague.com/players/23989/Luke-Cundle/stats?co=1&se=-1
Patrick Cutrone,https://www.premierleague.com/players/22870/Patrick-Cutrone/stats?co=1&se=-1
Pontus Dahlberg,https://www.premierleague.com/players/33158/Pontus-Dahlberg/stats?co=1&se=-1
Patson Daka,https://www.premierleague.com/players/24994/Patson-Daka/stats?co=1&se=-1
Sam Dalby,https://www.premierleague.com/players/20722/Sam-Dalby/stats?co=1&se=-1
Vontae Daley-Campbell,https://www.premierleague.com/players/19868/Vontae-Daley-Campbell/stats?co=1&se=-1
Stuart Dallas,https://www.premierleague.com/players/8148/Stuart-Dallas/stats?co=1&se=-1
Henrik Dalsgaard,https://www.premierleague.com/players/12005/Henrik-Dalsgaard/stats?co=1&se=-1
Daniel Podence,https://www.premierleague.com/players/11362/Daniel-Podence/stats?co=1&se=-1
Luke Daniels,https://www.premierleague.com/players/2817/Luke-Daniels/stats?co=1&se=-1
Scott Dann,https://www.premierleague.com/players/3807/Scott-Dann/stats?co=1&se=-1
Karl Darlow,https://www.premierleague.com/players/9251/Karl-Darlow/stats?co=1&se=-1
Josh Dasilva,https://www.premierleague.com/players/14457/Josh-Dasilva/stats?co=1&se=-1
David Luiz,https://www.premierleague.com/players/4100/David-Luiz/stats?co=1&se=-1
Tom Davies,https://www.premierleague.com/players/13389/Tom-Davies/stats?co=1&se=-1
Keinan Davis,https://www.premierleague.com/players/13130/Keinan-Davis/stats?co=1&se=-1
Craig Dawson,https://www.premierleague.com/players/4198/Craig-Dawson/stats?co=1&se=-1
Laurens De Bock,https://www.premierleague.com/players/12198/Laurens-De-Bock/stats?co=1&se=-1
Kevin De Bruyne,https://www.premierleague.com/players/4288/Kevin-De-Bruyne/stats?co=1&se=-1
David de Gea,https://www.premierleague.com/players/4330/David-de-Gea/stats?co=1&se=-1
Troy Deeney,https://www.premierleague.com/players/9947/Troy-Deeney/stats?co=1&se=-1
